time_microsec,QP_1e12_erg,power_relative,alpha_1_microsec,delt_microsec,W_dimensionless,QBAR_1e12erg_per_g,DELQ_1e12_erg,TOTKE_1e12_erg,TOTIEN_1e12_erg,W_cfl,W_visc,NS4,DTMAX_microsec,FBAR_weighted,FBAR_geom,W_limit_flag,alpha_dt_flag,CHECK,ERRLCL
  2.000000E+00,  3.653182E+03,  1.000013E+00,  1.318558E-02,  1.000000E+00,  1.063864E+00,  3.942123E-03,  2.000026E+00,  0.000000E+00,  3.448010E+03,  1.730256E-02,  1.059538E+00,1,  2.000000E+00,  1.691158E+02,  4.037343E+01,  1.000000E+00,  0.000000E+00, -2.953538E+00,  2.602085E-18
  1.300000E+01,  3.664449E+03,  1.156103E+00,  1.318558E-02,  2.000000E+00,  1.783800E-02,  4.557439E-03,  2.313123E+00,  0.000000E+00,  3.459278E+03,  1.783800E-02,  0.000000E+00,1,  2.000000E+00,  5.555305E+01,  4.037343E+01,  0.000000E+00,  0.000000E+00, -2.954261E+00,  2.602085E-18
  2.300000E+01,  3.676977E+03,  1.319048E+00,  1.318558E-02,  2.000000E+00,  1.843346E-02,  5.199781E-03,  2.639453E+00,  0.000000E+00,  3.471805E+03,  1.843346E-02,  0.000000E+00,1,  2.000000E+00,  5.556818E+01,  4.037343E+01,  0.000000E+00,  0.000000E+00, -2.955060E+00,  2.385245E-18
  3.300000E+01,  3.691271E+03,  1.504960E+00,  1.318558E-02,  2.000000E+00,  1.911299E-02,  5.932658E-03,  3.011594E+00,  0.000000E+00,  3.486099E+03,  1.911299E-02,  0.000000E+00,1,  2.000000E+00,  5.557390E+01,  4.037343E+01,  0.000000E+00,  0.000000E+00, -2.955965E+00,  2.168404E-18
  4.300000E+01,  3.707580E+03,  1.717074E+00,  1.318558E-02,  2.000000E+00,  1.988835E-02,  6.768829E-03,  3.436070E+00,  0.000000E+00,  3.502408E+03,  1.988835E-02,  0.000000E+00,1,  2.000000E+00,  5.557474E+01,  4.037343E+01,  0.000000E+00,  0.000000E+00, -2.956989E+00,  3.252607E-18
  5.300000E+01,  3.726187E+03,  1.959085E+00,  1.318558E-02,  2.000000E+00,  2.077303E-02,  7.722853E-03,  3.920289E+00,  0.000000E+00,  3.521016E+03,  2.077303E-02,  0.000000E+00,1,  2.000000E+00,  5.557292E+01,  4.037343E+01,  0.000000E+00,  0.000000E+00, -2.958147E+00,  2.385245E-18
  6.300000E+01,  3.747417E+03,  2.235206E+00,  1.318558E-02,  2.000000E+00,  2.178238E-02,  8.811342E-03,  4.472690E+00,  0.000000E+00,  3.542245E+03,  2.178238E-02,  0.000000E+00,1,  2.000000E+00,  5.556961E+01,  4.037343E+01,  0.000000E+00,  0.000000E+00, -2.959453E+00,  2.385245E-18
  7.300000E+01,  3.771638E+03,  2.550245E+00,  1.318558E-02,  2.000000E+00,  2.293397E-02,  1.005325E-02,  5.102893E+00,  0.000000E+00,  3.566466E+03,  2.293397E-02,  0.000000E+00,1,  2.000000E+00,  5.556546E+01,  4.037343E+01,  0.000000E+00,  0.000000E+00, -2.960926E+00,  2.602085E-18
  8.300000E+01,  3.799271E+03,  2.909686E+00,  1.318558E-02,  2.000000E+00,  2.424782E-02,  1.147019E-02,  5.821868E+00,  0.000000E+00,  3.594100E+03,  2.424782E-02,  0.000000E+00,1,  2.000000E+00,  5.556081E+01,  4.037343E+01,  0.000000E+00,  0.000000E+00, -2.962583E+00,  2.818926E-18
  9.300000E+01,  3.830798E+03,  3.319788E+00,  1.318558E-02,  2.000000E+00,  2.574679E-02,  1.308684E-02,  6.642128E+00,  0.000000E+00,  3.625626E+03,  2.574679E-02,  0.000000E+00,1,  2.000000E+00,  5.555589E+01,  4.037343E+01,  0.000000E+00,  0.000000E+00, -2.964445E+00,  2.602085E-18
  1.030000E+02,  3.866767E+03,  3.787691E+00,  1.318558E-02,  2.000000E+00,  2.745696E-02,  1.493135E-02,  7.577947E+00,  0.000000E+00,  3.661595E+03,  2.745696E-02,  0.000000E+00,1,  2.000000E+00,  5.555081E+01,  4.037343E+01,  0.000000E+00,  0.000000E+00, -2.966532E+00,  2.818926E-18
  1.130000E+02,  3.907803E+03,  4.321543E+00,  1.318558E-02,  2.000000E+00,  2.940807E-02,  1.703583E-02,  8.645608E+00,  0.000000E+00,  3.702632E+03,  2.940807E-02,  0.000000E+00,1,  2.000000E+00,  5.554563E+01,  4.037343E+01,  0.000000E+00,  0.000000E+00, -2.968866E+00,  2.602085E-18
  1.230000E+02,  3.954621E+03,  4.930637E+00,  1.318558E-02,  2.000000E+00,  3.163408E-02,  1.943692E-02,  9.863688E+00,  0.000000E+00,  3.749450E+03,  3.163408E-02,  0.000000E+00,1,  2.000000E+00,  5.554040E+01,  4.037343E+01,  0.000000E+00,  0.000000E+00, -2.971470E+00,  3.469447E-18
  1.330000E+02,  4.008036E+03,  5.625580E+00,  1.318558E-02,  2.000000E+00,  3.417371E-02,  2.217643E-02,  1.125338E+01,  0.000000E+00,  3.802864E+03,  3.417371E-02,  0.000000E+00,1,  2.000000E+00,  5.553514E+01,  4.037343E+01,  0.000000E+00,  0.000000E+00, -2.974366E+00,  2.602085E-18
  1.430000E+02,  4.068975E+03,  6.418470E+00,  1.318558E-02,  2.000000E+00,  3.707116E-02,  2.530206E-02,  1.283886E+01,  0.000000E+00,  3.863804E+03,  3.707116E-02,  0.000000E+00,1,  2.000000E+00,  5.552987E+01,  4.037343E+01,  0.000000E+00,  0.000000E+00, -2.977577E+00,  2.168404E-18
  1.530000E+02,  4.138501E+03,  7.323114E+00,  1.318558E-02,  2.000000E+00,  4.037682E-02,  2.886823E-02,  1.464772E+01,  0.000000E+00,  3.933329E+03,  4.037682E-02,  0.000000E+00,1,  2.000000E+00,  5.552458E+01,  4.037343E+01,  0.000000E+00,  0.000000E+00, -2.981125E+00,  3.035766E-18
  1.630000E+02,  4.217822E+03,  8.355261E+00,  1.318558E-02,  2.000000E+00,  4.414821E-02,  3.293703E-02,  1.671143E+01,  0.000000E+00,  4.012650E+03,  4.414821E-02,  0.000000E+00,1,  2.000000E+00,  5.551928E+01,  4.037343E+01,  0.000000E+00,  0.000000E+00, -2.985031E+00,  3.469447E-18
  1.730000E+02,  4.308318E+03,  9.532883E+00,  1.318558E-02,  2.000000E+00,  4.845095E-02,  3.757930E-02,  1.906589E+01,  0.000000E+00,  4.103147E+03,  4.845095E-02,  0.000000E+00,1,  2.000000E+00,  5.551399E+01,  4.037343E+01,  0.000000E+00,  0.000000E+00, -2.989311E+00,  2.602085E-18
  1.830000E+02,  4.411565E+03,  1.087648E+01,  1.318558E-02,  2.000000E+00,  5.335991E-02,  4.287587E-02,  2.175208E+01,  0.000000E+00,  4.206393E+03,  5.335991E-02,  0.000000E+00,1,  2.000000E+00,  5.550869E+01,  4.037343E+01,  0.000000E+00,  0.000000E+00, -2.993979E+00,  2.602085E-18
  1.930000E+02,  4.529358E+03,  1.240946E+01,  1.318558E-02,  2.000000E+00,  5.896048E-02,  4.891896E-02,  2.481671E+01,  0.000000E+00,  4.324186E+03,  5.896048E-02,  0.000000E+00,1,  2.000000E+00,  5.550339E+01,  4.037343E+01,  0.000000E+00,  0.000000E+00, -2.999046E+00,  3.035766E-18
  2.030000E+02,  4.663746E+03,  1.415849E+01,  1.318558E-02,  2.000000E+00,  6.535011E-02,  5.581378E-02,  2.831312E+01,  0.000000E+00,  4.458575E+03,  6.535011E-02,  0.000000E+00,1,  2.000000E+00,  5.549809E+01,  4.037343E+01,  0.000000E+00,  0.000000E+00, -3.004513E+00,  3.469447E-18
  2.130000E+02,  4.817068E+03,  1.615404E+01,  1.318558E-02,  2.000000E+00,  7.263998E-02,  6.368038E-02,  3.230214E+01,  0.000000E+00,  4.611897E+03,  7.263998E-02,  0.000000E+00,1,  2.000000E+00,  5.549279E+01,  4.037343E+01,  0.000000E+00,  0.000000E+00, -3.010379E+00,  3.469447E-18
  2.230000E+02,  4.991992E+03,  1.843085E+01,  1.318558E-02,  2.000000E+00,  8.095691E-02,  7.265573E-02,  3.685316E+01,  0.000000E+00,  4.786821E+03,  8.095691E-02,  0.000000E+00,1,  2.000000E+00,  5.548749E+01,  4.037343E+01,  0.000000E+00,  0.000000E+00, -3.016630E+00,  3.469447E-18
  2.330000E+02,  5.191561E+03,  2.102857E+01,  1.318558E-02,  2.000000E+00,  9.044560E-02,  8.289611E-02,  4.204538E+01,  0.000000E+00,  4.986390E+03,  9.044560E-02,  0.000000E+00,1,  2.000000E+00,  5.548220E+01,  4.037343E+01,  0.000000E+00,  0.000000E+00, -3.023248E+00,  3.469447E-18
  2.430000E+02,  5.419247E+03,  2.399241E+01,  1.318558E-02,  2.000000E+00,  1.012712E-01,  9.457980E-02,  4.796912E+01,  0.000000E+00,  5.214075E+03,  1.012712E-01,  0.000000E+00,1,  2.000000E+00,  5.547690E+01,  4.037343E+01,  0.000000E+00,  0.000000E+00, -3.030203E+00,  3.469447E-18
  2.530000E+02,  5.679011E+03,  2.737400E+01,  1.318558E-02,  2.000000E+00,  1.136219E-01,  1.079102E-01,  5.472746E+01,  0.000000E+00,  5.473840E+03,  1.136219E-01,  0.000000E+00,1,  2.000000E+00,  5.547160E+01,  4.037343E+01,  0.000000E+00,  0.000000E+00, -3.037457E+00,  4.336809E-18
  2.630000E+02,  5.975137E+03,  3.116892E+01,  1.280278E-02,  2.000000E+00,  1.299441E-01,  1.228701E-01,  1.557820E+01,  1.928296E-02,  5.769959E+03,  1.253344E-01,  2.983430E-02,5,  2.000000E+00,  5.546865E+01,  4.037343E+01,  0.000000E+00,  0.000000E+00, -3.044967E+00,  3.469447E-18
  2.730000E+02,  6.310873E+03,  3.518374E+01,  1.125941E-02,  2.000000E+00,  1.676454E-01,  1.386968E-01,  7.815985E+00,  6.405505E-01,  6.105075E+03,  1.460487E-01,  6.651880E-02,10,  2.000000E+00,  5.547418E+01,  4.037343E+01,  0.000000E+00,  0.000000E+00, -3.052618E+00,  6.938894E-18
  2.830000E+02,  6.682591E+03,  3.897177E+01,  7.659406E-03,  1.000000E+00,  1.342610E-01,  7.681473E-02,  2.598180E+00,  2.641688E+01,  6.460833E+03,  4.762740E-02,  9.295686E-02,16,  2.000000E+00,  5.549463E+01,  4.037343E+01,  0.000000E+00,  0.000000E+00, -3.066347E+00,  6.938894E-18
  2.930000E+02,  7.081429E+03,  4.072985E+01,  1.059406E-03,  5.000000E-01,  8.712557E-02,  4.013999E-02,  7.830340E-01,  1.347766E+03,  6.216588E+03,  4.218821E-02,  8.194231E-02,27,  2.000000E+00,  5.537624E+01,  4.037343E+01,  0.000000E+00,  0.000000E+00, -3.474449E+00,  6.938894E-18
  3.030312E+02,  7.434218E+03,  4.034674E+01, -8.540594E-03,  1.250000E-01,  4.206566E-02,  9.940608E-03,  4.689716E-02,  4.732442E+04,  9.044715E+03,  3.881751E-02,  3.322952E-02,87,  2.000000E+00,  5.291376E+01,  4.037343E+01,  0.000000E+00,  0.000000E+00, -3.076104E+01,  4.551767E-05
  3.130316E+02,  1.270850E+12,  1.878093E+02, -2.908027E-02,  1.000000E-03,  1.175990E+21,  9.443413E-26,  4.584904E-43,  8.881587E+08,  1.270376E+12,  1.175990E+21,  5.583221E-05,200,  2.000000E+00,  2.526500E-35,  4.037343E+01,  1.000000E+00,  0.000000E+00, -3.190157E+00,  6.653989E-05
  3.136236E+02,  1.270850E+12,  1.804075E+02, -1.112803E-01,  1.000000E-03,  1.175990E+21,  9.071238E-26,  2.180581E-38,  1.716792E+09,  1.270376E+12,  1.175990E+21,  6.104463E-05,200,  2.000000E+00,  6.150803E-26,  4.037343E+01,  1.000000E+00,  0.000000E+00, -3.192888E+00,  1.725292E-04
